District,Code,Party,first_name,last_name,First Elected,Birth Year,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2020 Incumbent,biden_2020,trump_2020,dem_house_2020,rep_house_2020,white_%,black_%,latino_%,asian_%,native_%
Connecticut's 3rd,CT-03,Democratic,Rosa,DeLauro,1990,1943,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,59.90902909,38.8206513,58.72996611,39.75602498,71.64547459,12.41964998,11.4437198,2.979402243,0.1079153568
Connecticut's 4th,CT-04,Democratic,Jim,Himes,2008,1966,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,64.15651003,34.49678332,62.15397431,36.2726831,70.28520665,11.39070522,13.31308686,3.901577365,0.1642443212
Connecticut's 5th,CT-05,Democratic,Jahana,Hayes,2018,1973,Woman,Black - African-American,Christian - Protestant - Methodist,No,Won,54.5781664,43.93687245,55.07032421,43.48428148,76.59630147,6.394898038,13.35969605,2.451151431,0.1153369001
Delaware's At-Large,DE-AL,Democratic,Lisa,Blunt Rochester,2016,1962,Woman,Black - African-American,Christian - Protestant,No,Won,58.78216702,39.80139283,57.62836136,40.22200832,69.70856826,21.02228345,5.277584468,2.253199074,0.362869438
Florida's 1st,FL-01,Republican,Matt,Gaetz,2016,1982,Man,White - Non-Hispanic,Christian - Protestant - Baptist,No,Won,32.42044067,65.90407969,34.01389085,64.60933688,77.00598389,12.85588646,4.81556847,2.264222525,0.4862991257
Florida's 2nd,FL-02,Republican,Neal,Dunn,2016,1953,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,31.98927467,67.03308165,0,97.86473675,79.51979548,12.71934137,4.691201316,1.232691809,0.4085135292
Florida's 3rd,FL-03,Republican,Kat,Cammack,2020,1988,Woman,White - Non-Hispanic,Christian - Protestant,No,Open - Retired,42.79204182,56.01232293,42.86003366,57.13996634,72.51187392,15.2759787,7.877266839,2.441350029,0.2527705815
Florida's 4th,FL-04,Republican,John,Rutherford,2016,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,38.85023937,59.90327286,38.90026538,61.09577376,79.43505808,8.921211295,6.383486051,3.364614913,0.2333344688
Florida's 5th,FL-05,Democratic,Al,Lawson,2016,1948,Man,Black - African-American,Christian - Protestant - Episcopalian,No,Won,62.6968659,36.17197575,65.12776988,34.87223012,44.56077868,45.77933581,5.729176378,2.042738071,0.2983460441
Florida's 6th,FL-06,Republican,Michael,Waltz,2018,1974,Man,White - Non-Hispanic,Christian - Protestant,No,Won,40.80001238,58.26798801,39.35197873,60.61193634,77.99797216,9.489772832,9.90874735,1.370884623,0.3192585827
Florida's 7th,FL-07,Democratic,Stephanie,Murphy,2016,1978,Woman,Asian - Vietnamese,Christian - Protestant,No,Won,54.59004145,44.20466596,55.34421293,43.24035734,63.35582055,9.597872228,21.84753316,3.549222342,0.1400313529
Florida's 8th,FL-08,Republican,Bill,Posey,2008,1947,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,40.63932513,58.26059029,38.64715913,61.35284087,80.04855952,8.406973352,8.168465485,1.682424201,0.2513769969
Florida's 9th,FL-09,Democratic,Darren,Soto,2016,1978,Man,Hispanic - Puerto Rican,Christian - Roman Catholic,No,Won,52.98740991,46.05510446,56.0294946,43.96468655,48.95822472,11.31182011,35.66798735,2.590970702,0.2311194523
Florida's 10th,FL-10,Democratic,Val,Demings,2016,1957,Woman,Black - African-American,Christian - Protestant,No,Won,62.01869453,37.01646899,63.61209043,36.36824948,43.57868598,26.26056792,23.56503772,4.853660386,0.1393259279
Florida's 11th,FL-11,Republican,Daniel,Webster,2010,1949,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,33.80426306,65.44469113,33.27783309,66.72216691,83.34854051,6.222293997,8.106100367,0.98025758,0.331866446
Florida's 12th,FL-12,Republican,Gus,Bilirakis,2006,1963,Man,White - Non-Hispanic,Christian - Eastern Orthodox,No,Won,41.03376789,57.92750442,37.11785671,62.88214329,82.45827583,4.231135189,9.95808296,2.016132489,0.2845901302
Florida's 13th,FL-13,Democratic,Charlie,Crist,2016,1956,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,51.49471737,47.402746,53.03908895,46.95918744,77.32751107,11.229278,7.061547536,2.831309921,0.2561912895
Florida's 14th,FL-14,Democratic,Kathy,Castor,2006,1966,Woman,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,57.22114782,41.63667406,60.25754025,39.74245975,53.26074639,17.17817481,24.26814988,3.355178666,0.2049180328
Florida's 15th,FL-15,Republican,Scott,Franklin,2020,1964,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Open - Lost in primary,45.15143144,53.67553993,44.61477816,55.38522184,65.51200352,13.46677572,16.99368141,2.360258496,0.2705399114
Florida's 16th,FL-16,Republican,Vern,Buchanan,2006,1951,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,45.53016884,53.57641529,44.49971528,55.50028472,79.25207061,7.409018656,10.40073622,1.730946206,0.2434535263
Florida's 17th,FL-17,Republican,Greg,Steube,2018,1978,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,35.93493819,63.30608624,34.06596071,64.62559136,81.38718099,6.545568964,9.814526622,1.036643961,0.2593735915
Florida's 18th,FL-18,Republican,Brian,Mast,2016,1980,Man,Hispanic - Mexican,Christian - Protestant,No,Won,45.45020117,53.88826616,41.5089389,56.32082184,75.32328719,10.90853338,10.9970212,1.711932714,0.1655861223
Florida's 19th,FL-19,Republican,Byron,Donalds,2020,1978,Man,Black - African-American,Christian - Protestant,No,Open - Retired,39.57504396,59.73034584,38.72025624,61.27906898,80.11392886,5.750453606,11.85366471,1.401746909,0.156124731
Florida's 20th,FL-20,Democratic,Alcee,Hastings,1992,1936,Man,Black - African-American,Christian - Protestant - African Methodist Episcopal,No,Won,77.3258268,22.11087932,78.67677391,21.32322609,23.8983736,51.58648713,20.32424252,2.629805848,0.1212799701
Florida's 21st,FL-21,Democratic,Lois,Frankel,2012,1948,Woman,White - Non-Hispanic,Jewish,No,Won,58.17173303,41.21378881,59.02484042,39.10065419,68.07364718,12.26195305,16.24237165,2.305247173,0.1207330761
Florida's 22nd,FL-22,Democratic,Ted,Deutch,2010 Special,1966,Man,White - Non-Hispanic,Jewish,No,Won,57.14848651,42.27976995,58.60155052,41.39844948,67.24631071,12.34546785,16.46949267,2.574189686,0.1520377814
Florida's 23rd,FL-23,Democratic,Debbie,Wasserman Schultz,2004,1966,Woman,White - Non-Hispanic,Jewish,No,Won,58.26638208,41.16256183,58.19077528,41.78739387,47.71999526,13.25209519,33.78498577,3.687341872,0.2668406072
Florida's 24th,FL-24,Democratic,Frederica,Wilson,2010,1942,Woman,Black - African-American,Christian - Protestant - Episcopalian,No,Won,75.44135178,23.98335052,75.5512053,20.399257,14.1295132,49.78473193,34.05309579,1.280597245,0.133234967
Florida's 25th,FL-25,Republican,Mario,Diaz-Balart,2002,1961,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Won,38.23375449,61.23038133,0,100,26.26053561,3.932526131,68.28452172,0.9589844424,0.2173238125
Florida's 26th,FL-26,Republican,Carlos,Giménez,2020,1954,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Lost,46.90217252,52.51339096,48.27569098,51.72430902,20.51970847,11.05771803,65.98777786,1.694189668,0.1166561426
Florida's 27th,FL-27,Republican,María Elvira,Salazar,2020,1961,Woman,Hispanic - Cuban,Christian - Protestant,No,Lost,51.33832607,48.11306657,48.62103652,51.35680443,25.37245397,4.947522903,67.23516855,1.787779063,0.09005603487
Georgia's 1st,GA-01,Republican,Buddy,Carter,2014,1957,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,43.12551629,55.52514982,41.65077996,58.34922004,63.40595903,29.34078212,4.11452514,1.379888268,0.3137802607
Georgia's 2nd,GA-02,Democratic,Sanford,Bishop,1992,1947,Man,Black - African-American,Christian - Protestant - Baptist,No,Won,55.73697385,43.41535518,59.116099,40.883901,43.75380926,51.28640655,2.725683169,0.9721736524,0.2058250487
Georgia's 3rd,GA-03,Republican,Drew,Ferguson,2016,1966,Man,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Won,36.81487024,61.95880755,34.95440566,65.04559434,69.74290622,23.99166487,3.382862292,1.347888527,0.237476182
Georgia's 4th,GA-04,Democratic,Hank,Johnson,2006,1954,Man,Black - African-American,Buddhist - Soka Gakkai,No,Won,78.75874639,20.23711349,80.07660085,19.92339915,28.9419222,62.25392668,3.879185371,3.293308405,0.1969586387
Georgia's 5th,GA-05,Democratic,Nikema,Williams,2020,1978,Woman,Black - African-American,Christian - Protestant - Methodist,No,Vacant - Died,86.20482658,12.64497902,85.14934993,14.85065007,32.80446197,59.04944579,3.266922411,3.041525978,0.1918079446
Georgia's 6th,GA-06,Democratic,Lucy,McBath,2018,1960,Woman,Black - African-American,Christian - Protestant,No,Won,54.77457749,43.6752998,54.58897417,45.41102583,71.01108149,14.24345942,5.478253624,7.425845692,0.2801616397
Georgia's 7th,GA-07,Democratic,Carolyn,Bourdeaux,2020,1970,Woman,White - Non-Hispanic,Christian - Protestant,No,Open - Retired,52.43971161,46.1372769,51.39125191,48.60874809,56.13937003,21.421338,9.643663368,11.10150003,0.1867127998
Georgia's 8th,GA-08,Republican,Austin,Scott,2010,1969,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,36.98393969,61.95950285,35.47935642,64.52064358,64.07449243,30.55965862,3.074888252,1.031077128,0.2336335814
Georgia's 9th,GA-09,Republican,Andrew,Clyde,2020,1963,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Open - Ran for Senate,22.36089348,76.38190955,21.41931085,78.58068915,86.01848436,6.836563839,4.768661729,0.973408633,0.2346018863
Georgia's 10th,GA-10,Republican,Jody,Hice,2014,1960,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,39.15997242,59.59336179,37.68992142,62.31007858,68.84271643,24.94956226,3.207931277,1.645046147,0.1223286258
Georgia's 11th,GA-11,Republican,Barry,Loudermilk,2014,1963,Man,White - Non-Hispanic,Christian - Protestant - Baptist,No,Won,41.53933645,56.85211625,39.57381702,60.42618298,74.13611472,16.43019162,5.599476117,2.344187459,0.1338179886
Georgia's 12th,GA-12,Republican,Rick,Allen,2014,1951,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,43.02420777,55.77799889,41.61928932,58.38071068,59.14808408,34.51848231,3.674839243,1.312375437,0.2303237694
Georgia's 13th,GA-13,Democratic,David,Scott,2002,1946,Man,Black - African-American,Christian - Protestant - Baptist,No,Won,75.58222996,23.36260569,77.4004843,22.5995157,30.70197843,59.80274662,5.50305507,2.30456394,0.1060924576
Georgia's 14th,GA-14,Republican,Marjorie Taylor,Greene,2020,1974,Woman,White - Non-Hispanic,Christian - Protestant,No,Vacant - Resigned,25.30445788,73.44114752,25.28988216,74.71011784,83.97975721,8.860696567,4.964256952,0.768550095,0.2376241561
Hawaii's 1st,HI-01,Democratic,Ed,Case,"2018, 2002-2006",1952,Man,White - Non-Hispanic,Christian - Protestant,No,Won,63.83099133,34.4979285,72.02092496,27.97907504,18.61650222,2.267059624,7.484253792,55.90963303,0.09166806304
Hawaii's 2nd,HI-02,Democratic,Kai,Kahele,2020,1974,Man,Native Hawaiian,Unknown/Refused,No,Open - Retired,63.64045204,34.04959917,63.03408281,30.88069915,33.33366059,1.663099609,9.408195723,35.88721554,0.231695105
Idaho's 1st,ID-01,Republican,Russ,Fulcher,2018,1965,Man,White - Non-Hispanic,Christian - Protestant,No,Won,30.0662969,67.12298856,28.64955863,67.76106905,88.66475308,0.3760922977,7.015353789,1.132252499,1.206198764
Idaho's 2nd,ID-02,Republican,Mike,Simpson,1998,1950,Man,White - Non-Hispanic,Christian - Mormon,No,Won,36.62210784,60.10694118,31.72515479,64.05516529,87.26469884,0.6508188436,8.379070943,1.093269256,1.106569369
Illinois' 1st,IL-01,Democratic,Bobby,Rush,1992,1946,Man,Black - African-American,Christian - Protestant,No,Won,73.914826,24.70261519,73.80068466,26.15225622,37.51687814,53.06392147,6.921714149,1.321522624,0.1129997606
Illinois' 2nd,IL-02,Democratic,Robin,Kelly,2013 Special,1956,Woman,Black - African-American,Christian - Protestant - Nondenominational,No,Won,77.45273879,21.23023146,78.81411095,21.18588905,31.4664051,57.65375184,9.102501226,0.6356056891,0.1069151545
Illinois' 3rd,IL-03,Democratic,Marie,Newman,2020,1964,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Lost in primary,55.49438936,42.86579576,56.37872823,43.62127177,66.50059138,5.464784015,23.52337789,3.693779504,0.07012842923
Illinois' 4th,IL-04,Democratic,Chuy,Garcia,2018,1956,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,80.73169452,17.30723824,84.05383928,15.94616072,33.05394256,4.742636433,56.69355474,4.206626554,0.1550224651
Illinois' 5th,IL-05,Democratic,Mike,Quigley,2008,1959,Man,White - Non-Hispanic,Christian - Protestant,No,Won,72.11411512,26.03641811,70.76709728,26.62820985,73.55496964,3.002395232,15.25057096,6.46341237,0.1392576638
Illinois' 6th,IL-06,Democratic,Sean,Casten,2018,1971,Man,White - Non-Hispanic,Unknown/Refused,No,Won,55.26440187,42.60084113,52.81743904,45.43356714,82.32555001,2.515280643,6.439079884,7.735765382,0.05495247093
Illinois' 7th,IL-07,Democratic,Danny,Davis,1996,1941,Man,Black - African-American,Christian - Protestant - Baptist,No,Won,86.33885629,12.09962733,80.41292628,13.34610225,33.25259681,49.44425829,10.4561773,5.491359916,0.1120099564
Illinois' 8th,IL-08,Democratic,Raja,Krishnamoorthi,2016,1973,Man,Asian - Indian,Hindu,No,Won,59.1655879,38.95839645,73.1606816,0,65.72136195,4.80610469,16.89499755,11.30795662,0.137221652
Illinois' 9th,IL-09,Democratic,Jan,Schakowsky,1998,1944,Woman,White - Non-Hispanic,Jewish,No,Won,70.95109254,27.39655,70.98220332,29.01779668,71.00113709,8.500519108,8.188065457,10.51268107,0.12063084
Illinois' 10th,IL-10,Democratic,Brad,Schneider,2016,1961,Man,White - Non-Hispanic,Jewish,No,Won,64.24590525,33.99537162,63.8746,36.11593252,69.47760791,7.348063314,13.27102804,8.351790827,0.1555831668
Illinois' 11th,IL-11,Democratic,Bill,Foster,"2012, 2008 Special-2010",1955,Man,White - Non-Hispanic,Unknown/Refused,No,Won,61.88481013,36.15189873,63.29588746,36.69988321,62.7281378,12.37477146,17.18718259,6.17669386,0.1250948904
Illinois' 12th,IL-12,Republican,Mike,Bost,2014,1960,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,41.89238859,56.13891732,39.56906605,60.43093395,79.36582303,16.11116837,2.34255676,0.8039654801,0.1949007224
Illinois' 13th,IL-13,Republican,Rodney,Davis,2012,1970,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,47.03745159,50.50071658,45.53706823,54.46293177,83.41728979,10.28458929,2.453993401,2.046380937,0.1876311338
Illinois' 14th,IL-14,Democratic,Lauren,Underwood,2018,1986,Woman,Black - African-American,Christian - Protestant,No,Won,50.17831283,47.75187918,50.66899055,49.32901469,84.30408071,3.037142058,8.075576517,3.559889278,0.09934126134
Illinois' 15th,IL-15,Republican,Mary,Miller,2020,1959,Woman,White - Non-Hispanic,Christian - Protestant,No,Open - Retired,25.9351548,72.21559303,26.55394506,73.44605494,92.51211345,4.160664509,1.827773932,0.526630872,0.1926926459
Illinois' 16th,IL-16,Republican,Adam,Kinzinger,2010,1978,Man,White - Non-Hispanic,Christian - Protestant,No,Won,40.89391051,56.94124065,35.28310647,64.7148235,88.20755168,3.593123703,5.926358184,1.050386003,0.164541341
Illinois' 17th,IL-17,Democratic,Cheri,Bustos,2012,1961,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,48.1419554,49.72429441,52.02187432,47.97112323,81.90220979,10.34312012,5.640024855,0.7223581498,0.1912695639
Illinois' 18th,IL-18,Republican,Darin,LaHood,2015 Special,1968,Man,White - Middle Eastern - Lebanese,Christian - Roman Catholic,No,Won,36.75502136,60.94722598,29.59000105,70.40999895,92.09053774,3.649301475,1.871747524,1.290731726,0.1650719042
Indiana's 1st,IN-01,Democratic,Frank,Mrvan,2020,1969,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,53.58500356,44.81375116,56.63897623,40.44893989,67.62114951,17.96957175,12.09992487,0.9663786627,0.2272727273
Indiana's 2nd,IN-02,Republican,Jackie,Walorski,2012,1963,Woman,White - Non-Hispanic,Christian - Evangelical Protestant,No,Won,38.85608205,59.34673183,38.50613596,61.49386404,86.30222427,6.319688334,4.865948913,0.8664862686,0.3022626519
Indiana's 3rd,IN-03,Republican,Jim,Banks,2016,1979,Man,White - Non-Hispanic,Christian - Protestant,No,Won,33.9702285,63.85148721,32.16014686,67.83985314,88.19786593,5.625158366,3.388796607,1.217188922,0.1811237178
Indiana's 4th,IN-04,Republican,Jim,Baird,2018,1945,Man,White - Non-Hispanic,Christian - Protestant,No,Won,33.97940344,63.77022049,33.37636442,66.62363558,90.798386,3.695878859,2.918801288,1.363739402,0.255701138
Indiana's 5th,IN-05,Republican,Victoria,Spartz,2020,1978,Woman,White - Non-Hispanic (Ukranian),Christian - Eastern Orthodox,No,Open - Retired,47.89250144,50.11365076,45.94282914,50.02378516,85.49098589,8.180870309,2.627146587,2.219885397,0.1479329489
Indiana's 6th,IN-06,Republican,Greg,Pence,2018,1956,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,29.10710892,68.83522702,27.75727957,68.65023628,94.27144778,2.573458805,1.473291448,0.558771617,0.1865620456
Indiana's 7th,IN-07,Democratic,André,Carson,2008 Special,1974,Man,Black - African-American,Muslim,No,Won,62.86969181,35.26815686,62.43523683,37.56476317,62.49573682,29.68340431,4.233943658,1.431452988,0.2377634643
Indiana's 8th,IN-08,Republican,Larry,Bucshon,2010,1962,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,33.12095857,65.05689048,29.84589089,66.94685559,92.72246023,4.003965763,1.239755869,0.7012852348,0.1437134463
Indiana's 9th,IN-09,Republican,Trey,Hollingsworth,2016,1983,Man,White - Non-Hispanic,Christian - Protestant,No,Won,37.2203723,60.80943453,34.13733365,61.84777099,92.69005591,2.705462869,1.929832284,1.223753136,0.2077739138
Iowa's 1st,IA-01,Republican,Ashley,Hinson,2020,1983,Woman,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Lost,47.37753134,50.78760845,48.64993512,51.24520078,92.64276962,3.100460798,2.106380408,0.9561120411,0.3166905407
Iowa's 2nd,IA-02,Republican,Mariannette,Miller-Meeks,2020,1955,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,47.10335675,51.10199311,49.91016788,49.91168831,90.53873534,3.15863864,3.632649895,1.212606976,0.241314821
Iowa's 3rd,IA-03,Democratic,Cindy,Axne,2018,1965,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,49.02436357,49.14836847,48.93547674,47.5495985,89.76886212,3.352983587,3.628652615,1.849103015,0.2188387972
Iowa's 4th,IA-04,Republican,Randy,Feenstra,2020,1969,Man,White - Non-Hispanic,Christian - Protestant,No,Open - Lost in primary,35.7254831,62.67698693,37.79443478,61.97268042,92.93394368,1.257962066,3.402175263,1.111584252,0.4551019322
Kansas' 1st,KS-01,Republican,Tracey,Mann,2020,1976,Man,White - Non-Hispanic,Christian - Protestant - Pietist,No,Open - Retired,28.13873143,69.67665113,28.84027858,71.15972142,84.9018751,2.991419037,8.947441602,1.097449547,0.5502145241
Kansas' 2nd,KS-02,Republican,Jake,LaTurner,2020,1988,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Lost in primary,41.34377661,56.29175175,40.63155078,55.14591975,86.25773943,4.515367309,4.643660636,0.9315211126,1.224364576
Kansas' 3rd,KS-03,Democratic,Sharice,Davids,2018,1980,Woman,Native American - Ho-Chunk,Unknown/Refused,Lesbian,Won,54.25409555,43.66876682,53.61582582,43.55876204,80.82460232,8.330146834,5.85041297,2.950061181,0.2523707556
Kansas' 4th,KS-04,Republican,Ron,Estes,2017 Special,1956,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,38.01753524,59.6661691,36.34753659,63.65246341,80.56813864,6.449036054,7.42223651,2.582536946,0.8309709599
Kentucky's 1st,KY-01,Republican,James,Comer,2016,1943,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,25.5101094,73.06963588,25.00715438,74.99284562,89.92893697,6.824422328,1.661178059,0.4451701772,0.211638281
Kentucky's 2nd,KY-02,Republican,Brett,Guthrie,2008,1964,Man,White - Non-Hispanic,Christian - Restorationist,No,Won,30.63463503,67.60849978,26.26061671,70.95885394,90.44174929,5.296565156,1.807719547,0.7825779037,0.2815155807
Kentucky's 3rd,KY-03,Democratic,John,Yarmuth,2006,1947,Man,White - Non-Hispanic,Jewish,No,Won,59.99048126,38.13632885,62.66609073,37.33390927,73.6892192,20.56283138,2.421715684,1.696651108,0.1703901754
Kentucky's 4th,KY-04,Republican,Thomas,Massie,2012 Special,1971,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,33.43233658,64.74786484,32.9132125,67.0867875,93.09211995,3.268253926,1.553335654,0.7436371265,0.1410500192
Kentucky's 5th,KY-05,Republican,Hal,Rogers,1980,1937,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,18.6189243,80.14562769,15.79219385,84.20780615,96.59852686,1.537513679,0.6878350667,0.2216153089,0.2528805392
Kentucky's 6th,KY-06,Republican,Andy,Barr,2012,1973,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,44.46419973,53.56124225,40.95943982,57.32540626,87.32362232,8.263425763,1.734819235,1.012636013,0.1842751843
Louisiana's 1st,LA-01,Republican,Steve,Scalise,2008 Special,1965,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,30.13340535,68.00921302,25.30391138,72.20950453,77.27156778,13.30034182,5.390031121,1.654677482,1.10793667
Louisiana's 2nd,LA-02,Vacant (D),,,,,,,,,Won,75.33571745,23.00369181,63.61118297,15.00873867,31.67773631,61.42284912,3.688075593,1.885548975,0.2216782499
Louisiana's 3rd,LA-03,Republican,Clay,Higgins,2016,1961,Man,White - Non-Hispanic,Christian - Protestant,No,Won,30.15525545,68.12436152,17.89133247,67.76431848,71.59280936,23.78501254,2.186977425,0.9580546265,0.3736413043
Louisiana's 4th,LA-04,Republican,Mike,Johnson,2016,1972,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,37.00838247,61.47442614,25.49334916,60.42997214,61.51816594,33.22102186,2.622383856,0.7540913467,0.7585481513
Louisiana's 5th,LA-05,Vacant (R),,,,,,,,,Open - Retired,34.07846182,64.4697517,16.93033546,34.16354573,62.81931506,34.09052487,1.444091504,0.4715763998,0.3683634519
Louisiana's 6th,LA-06,Republican,Garret,Graves,2014,1972,Man,White - Middle Eastern - Lebanese,Christian - Roman Catholic,No,Won,34.37029809,63.7740987,25.54599514,71.04514487,71.79807915,22.7435122,2.377504948,1.532741028,0.4112440991
Maine's 1st,ME-01,Democratic,Chellie,Pingree,2008,1955,Woman,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,60.12092979,37.02487434,62.15303181,37.84352804,95.03912087,0.8446024336,1.405195697,1.103551971,0.296074919
Maine's 2nd,ME-02,Democratic,Jared,Golden,2018,1982,Man,White - Non-Hispanic,Unknown/Refused,No,Won,44.82935476,52.26902502,53.04272107,46.94843731,95.7500528,0.5222433424,1.038726648,0.426242728,0.7968050996
Maryland's 1st,MD-01,Republican,Andy,Harris,2010,1957,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,39.08925002,58.82282834,36.37630081,63.43508864,83.47289318,11.45106459,2.073716228,1.66129898,0.1619252102
Maryland's 2nd,MD-02,Democratic,Dutch,Ruppersberger,2002,1946,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,65.80544406,32.37276509,67.71638366,32.03213001,57.23163945,32.90803251,3.777366918,3.924727246,0.2416343267
Maryland's 3rd,MD-03,Democratic,John,Sarbanes,2006,1962,Man,White - Non-Hispanic,Christian - Eastern Orthodox,No,Won,68.73845221,29.35536222,69.76254401,30.04158561,66.22907328,20.8187723,4.9034855,5.889671576,0.2140700759
Maryland's 4th,MD-04,Democratic,Anthony,Brown,2016,1961,Man,Black - Jamaican,Christian - Roman Catholic,No,Won,79.10631418,19.18395162,79.57571877,20.21583566,30.89900111,58.03753405,6.395923721,2.769649884,0.1826253658
Maryland's 5th,MD-05,Democratic,Steny,Hoyer,1981 Special,1939,Man,White - Non-Hispanic,Christian - Protestant - Baptist,No,Won,68.59141567,29.66912648,68.75205283,30.97114374,49.93001145,39.34537985,4.568343362,3.389445363,0.3117671654
Maryland's 6th,MD-06,Democratic,David,Trone,2018,1955,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,60.58442234,37.5256308,58.82096094,39.18823035,68.12552085,12.81837601,8.063450099,8.966732761,0.153261109
Maryland's 7th,MD-07,Democratic,Kweisi,Mfume,"2020 Special, 1986-1996",1948,Man,Black - African-American,Christian - Protestant - Baptist,No,Won,78.38011371,20.01320152,71.62701889,28.0439761,36.61401415,54.0288101,2.353858731,5.048815553,0.251829996
Maryland's 8th,MD-08,Democratic,Jamie,Raskin,2016,1962,Man,White - Non-Hispanic,Jewish,No,Won,69.31119074,28.86223815,68.23309671,31.58285604,69.58555561,11.66120272,8.411214953,8.326075256,0.1751724813
Massachusetts' 1st,MA-01,Democratic,Richie,Neal,1988,1949,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,61.13253595,36.86748036,96.51073136,0,77.6469538,5.106003124,14.53871904,1.488953359,0.1338986833
Massachusetts' 2nd,MA-02,Democratic,Jim,McGovern,1996,1959,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,61.75948035,36.04123341,65.3295054,34.57165867,83.80594343,3.648406731,7.601145721,3.576799141,0.1799140709
Massachusetts' 3rd,MA-03,Democratic,Lori,Trahan,2018,1973,Woman,White - Portuguese-American,Christian - Roman Catholic,No,Won,63.36593179,34.57528681,97.73692763,0,75.59430512,2.461188237,14.52268995,6.154836543,0.1427451858
Massachusetts' 4th,MA-04,Democratic,Jake,Auchincloss,2020,1988,Man,White - Non-Hispanic,Jewish,No,Open - Ran for Senate,64.47871052,33.69374825,60.82558385,38.87234965,88.28145554,2.534769158,3.70689577,4.258484763,0.04082484328
Massachusetts' 5th,MA-05,Democratic,Katherine,Clark,2013 Special,1963,Woman,White - Non-Hispanic,Christian - Protestant,No,Won,74.45792042,23.88994591,74.31590957,25.58186495,80.49243146,4.17318031,6.195904983,7.514202921,0.09246196668
Massachusetts' 6th,MA-06,Democratic,Seth,Moulton,2014,1978,Man,White - Non-Hispanic,Christian - Protestant,No,Won,62.6046368,35.63457842,65.43112843,34.43064177,87.91538658,2.367978591,5.581915334,3.101259694,0.09507125943
Massachusetts' 7th,MA-07,Democratic,Ayanna,Pressley,2018,1974,Woman,Black - African-American,Christian - Protestant - Baptist,No,Won,85.32203086,13.31141239,86.6230358,0,51.49015159,23.23867738,15.07964038,7.998725004,0.2203118115
Massachusetts' 8th,MA-08,Democratic,Stephen,Lynch,2001 Special,1955,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,66.16892774,32.15645625,80.67960384,0,80.1466797,8.206062761,4.454618188,5.834296382,0.1662369988
Massachusetts' 9th,MA-09,Democratic,Bill,Keating,2010,1952,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,57.92711243,40.29221826,61.29566346,36.33081411,91.34397154,2.460632509,3.491153816,1.134800249,0.2103104708
