year,state_abbv,district_id,dem,winning_party,dem_last_name,rep_last_name,dem_margin,dem_margin_lean,lag_dem_margin_lean,year_pvi_coef,pvi
1980,AK,AK.3,0.4611,R,GRUENING,MURKOWSKI,-0.07779999999999998,-0.24284882461155355,-0.26054698355485884,0.6,-0.24992808818887566
1980,AL,AL.3,0.4841,R,FOLSOM,DENTON,-0.03180000000000005,0.08965117538844643,0.11055301644514118,0.6,0.09801191181112434
1980,AR,AR.3,0.5911,D,BUMPERS,CLARK,0.18219999999999992,0.09675117538844642,0.27825301644514117,0.6,0.16935191181112433
1980,AZ,AZ.3,0.4945,R,SCHULZ,GOLDWATER,-0.01100000000000001,-0.2610488246115536,-0.19504698355485883,0.6,-0.2346480881888757
1980,CA,CA.3,0.6034,D,CRANSTON,GANN,0.2068000000000001,-0.08614882461155357,-0.041146983554858824,0.6,-0.06814808818887567
1980,CO,CO.3,0.5083,D,HART,BUCHANAN,0.016599999999999948,-0.1754488246115536,-0.14094698355485882,0.6,-0.1616480881888757
1980,CT,CT.3,0.5676,D,DODD,BUCKLEY,0.1352,-0.007948824611553579,-0.07494698355485882,0.6,-0.034748088188875675
1980,FL,FL.3,0.4834,R,GUNTER,HAWKINS,-0.03320000000000001,-0.07784882461155357,0.030853016445141178,0.6,-0.03436808818887567
1980,GA,GA.3,0.4913,R,TALMADGE,MATTINGLY,-0.01739999999999997,0.25635117538844643,0.31605301644514117,0.6,0.28023191181112433
1980,HI,HI.3,0.8088,D,INOUYE,BROWN,0.6175999999999999,0.12485117538844642,0.0029530164451411767,0.6,0.07609191181112432
1980,IA,IA.3,0.4599,R,CULVER,GRASSLEY,-0.08020000000000005,-0.03814882461155358,-0.03304698355485883,0.6,-0.03610808818887568
1980,ID,ID.3,0.4951,R,CHURCH,SYMMS,-0.009800000000000031,-0.34714882461155355,-0.25744698355485884,0.6,-0.31126808818887564
1980,IL,IL.3,0.5686,D,DIXON,O'NEAL,0.1372,0.016351175388446423,-0.042846983554858824,0.6,-0.007328088188875677
1980,IN,IN.3,0.4621,R,BAYH,QUAYLE,-0.07579999999999998,-0.09274882461155357,-0.09974698355485882,0.6,-0.09554808818887567
1980,KS,KS.3,0.3624,R,SIMPSON,DOLE,-0.2752,-0.1663488246115536,-0.10024698355485882,0.6,-0.13990808818887568
1980,KY,KY.3,0.6513,D,FORD,FOUST,0.3026,0.08885117538844642,0.050353016445141174,0.6,0.07345191181112432
1980,MD,MD.3,0.3383,R,CONROY,MATHIAS,-0.3234,0.1355511753884464,0.03795301644514117,0.6,0.09651191181112431
1980,MO,MO.3,0.5217,D,EAGLETON,MCNARY,0.043400000000000105,0.03185117538844642,0.014053016445141175,0.6,0.024731911811124323
1980,NC,NC.3,0.4971,R,MORGAN,EAST,-0.005800000000000027,0.08115117538844643,0.08835301644514118,0.6,0.08403191181112432
1980,ND,ND.3,0.2918,R,JOHANNESON,ANDREWS,-0.4164,-0.31644882461155355,-0.08354698355485882,0.6,-0.22328808818887566
1980,NH,NH.3,0.4785,R,DURKIN,RUDMAN,-0.04300000000000004,-0.23824882461155356,-0.13754698355485884,0.6,-0.19796808818887568
1980,NV,NV.3,0.3898,R,GOJACK,LAXALT,-0.22040000000000004,-0.2953488246115536,-0.06814698355485882,0.6,-0.20446808818887569
1980,NY,NY.3,0.4924,R,HOLTZMAN,D'AMATO,-0.015199999999999991,0.12005117538844642,0.04615301644514118,0.6,0.09049191181112433
1980,OH,OH.3,0.7089,D,GLENN,BETTS,0.41779999999999995,-0.011548824611553571,-0.020446983554858824,0.6,-0.015108088188875674
1980,OK,OK.3,0.4489,R,COATS,NICKLES,-0.10219999999999996,-0.1642488246115536,-0.03504698355485882,0.6,-0.11256808818887568
1980,OR,OR.3,0.4579,R,KULONGOSKI,PACKWOOD,-0.08420000000000005,-0.007948824611553579,-0.024446983554858824,0.6,-0.014548088188875676
1980,PA,PA.3,0.4876,R,FLAHERTY,SPECTER,-0.024800000000000044,0.02595117538844642,0.004353016445141175,0.6,0.017311911811124323
1980,SC,SC.3,0.7037,D,HOLLINGS,MAYS,0.4074,0.09045117538844642,0.10855301644514118,0.6,0.09769191181112433
1980,SD,SD.3,0.4037,R,MCGOVERN,ABDNOR,-0.1926,-0.20954882461155355,-0.03764698355485882,0.6,-0.14078808818887564
1980,UT,UT.3,0.2571,R,BERMAN,GARN,-0.4858,-0.4561488246115536,-0.3223469835548588,0.6,-0.4026280881888757
1980,VT,VT.3,0.5067,D,LEAHY,LEDBETTER,0.013400000000000079,0.03135117538844642,-0.14954698355485882,0.6,-0.04100808818887568
1980,WA,WA.3,0.4583,R,MAGNUSON,GORTON,-0.08340000000000003,-0.03874882461155357,-0.06314698355485882,0.6,-0.04850808818887567
1980,WI,WI.3,0.4906,R,NELSON,KASTEN,-0.01880000000000004,0.05135117538844643,-0.005546983554858824,0.6,0.028591911811124325
1984,AK,AK.2,0.2858,R,HAVELOCK,STEVENS,-0.4284,-0.19863297615950604,-0.24284882461155355,0.6,-0.21631931554032505
1984,AL,AL.2,0.6332,D,HEFLIN,SMITH JR,0.26639999999999997,-0.04283297615950604,0.08965117538844643,0.6,0.010160684459674944
