year,state_abbv,district_id,dem,winning_party,dem_last_name,rep_last_name,dem_margin,lag_dem_margin_lean,lag_dem_margin_lean_2,year_pvi_coef,pvi
1984,AK,AK.2,0.2858,R,HAVELOCK,STEVENS,-0.4284,-0.24284882461155355,-0.26054698355485884,0.7297393634041408,-0.24763194031414593
1984,AL,AL.2,0.6332,D,HEFLIN,SMITH JR,0.26639999999999997,0.08965117538844643,0.11055301644514118,0.7297393634041408,0.09530012025845422
1984,AR,AR.2,0.5735,D,PRYOR,BETHUNE,0.14700000000000002,0.09675117538844642,0.27825301644514117,0.7297393634041408,0.1458039784957492
1984,CO,CO.2,0.3502,R,DICK,ARMSTRONG,-0.2996,-0.1754488246115536,-0.14094698355485882,0.7297393634041408,-0.1661243350838421
1984,DE,DE.2,0.6011,D,BIDEN,BURRIS,0.20219999999999994,0.07785117538844642,0.03185301644514118,0.7297393634041408,0.06541968367019123
1984,GA,GA.2,0.7994,D,NUNN,HICKS,0.5988,0.25635117538844643,0.31605301644514117,0.7297393634041408,0.27248623295837354
1984,IA,IA.2,0.5595,D,HARKIN,JEPSEN,0.119,-0.03814882461155358,-0.03304698355485883,0.7297393634041408,-0.03676999779976037
1984,ID,ID.2,0.2648,R,BUSCH,MCCLURE,-0.47040000000000004,-0.34714882461155355,-0.25744698355485884,0.7297393634041408,-0.32290594794375066
1984,IL,IL.2,0.5095,D,SIMON,PERCY,0.018999999999999906,0.016351175388446423,-0.042846983554858824,0.7297393634041408,3.5224326712589293e-4
1984,KS,KS.2,0.2184,R,MAHER,KASSEBAUM,-0.5631999999999999,-0.1663488246115536,-0.10024698355485882,0.7297393634041408,-0.14848409896741296
1984,KY,KY.2,0.4979,R,HUDDLESTON,MCCONNELL,-0.0041999999999999815,0.08885117538844642,0.050353016445141174,0.7297393634041408,0.07844663844466018
1984,MA,MA.2,0.5506,D,KERRY,SHAMIE,0.10119999999999996,0.10135117538844643,0.13955301644514118,0.7297393634041408,0.11167562927156259
1984,ME,ME.2,0.2607,R,MITCHELL,COHEN,-0.4786,0.06495117538844643,-0.03134698355485882,0.7297393634041408,0.03892557364941952
1984,MI,MI.2,0.5233,D,LEVIN,LOUSMA,0.046599999999999975,0.03225117538844642,-0.07764698355485883,0.7297393634041408,0.002550028991715827
1984,MN,MN.2,0.4155,R,GROWE,BOSCHWITZ,-0.16900000000000004,0.14745117538844643,0.11005301644514118,0.7297393634041408,0.13734392514491564
1984,MS,MS.2,0.3906,R,WINTER,COCHRAN,-0.2188,0.08955117538844642,-0.0033469835548588234,0.7297393634041408,0.06444445981384543
1984,MT,MT.2,0.583,D,BAUCUS,COZZENS,0.16599999999999993,-0.17014882461155356,-0.09844698355485883,0.7297393634041408,-0.15077063940247612
1984,NC,NC.2,0.4806,R,HUNT JR,HELMS,-0.038799999999999946,0.08115117538844643,0.08835301644514118,0.7297393634041408,0.08309754953709095
1984,NE,NE.2,0.5196,D,EXON,HOCH,0.0391999999999999,-0.32844882461155356,-0.23524698355485882,0.7297393634041408,-0.3032600357156652
1984,NH,NH.2,0.4108,R,D'AMOURS,HUMPHREY,-0.1784,-0.23824882461155356,-0.13754698355485884,0.7297393634041408,-0.21103308094119622
